source,target
SYNCRIP,USP13
Smc1a,USP13
Smc1a,USP13
Smc3,USP13
Smc3,USP13
SPATA18,SPATA18
SPATA18,LRIF1
SPATA18,HOXA1
SPATA18,SPATA18
SPATA18,GAS8
SPATA18,EFHC2
SPATA18,CCDC102B
SPATA18,AIMP2
SPATA18,PIBF1
SPATA18,GOLGA2
SPATA18,SPATA18
SPATA18,SPATA18
SPATA18,LRIF1
SPATA18,HOXA1
SPATA18,EFHC2
SPATA18,AIMP2
SPATA18,PIBF1
GAS8,SPATA18
GAS8,SPATA18
GAS8,SPATA18
GOLGA2,SPATA18
GOLGA2,SPATA18
GOLGA2,SPATA18
CCDC102B,SPATA18
CCDC102B,SPATA18
CCDC102B,SPATA18
CARD10,SPATA18
CARD10,SPATA18
CARD10,SPATA18
CARD10,SPATA18
TACC3,SPATA18
TACC3,SPATA18
TACC3,SPATA18
TACC3,SPATA18
LRIF1,SPATA18
LRIF1,SPATA18
HOXA1,SPATA18
HOXA1,SPATA18
TGM7,SPATA18
TGM7,SPATA18
TGM7,SPATA18
TGM7,SPATA18
EFHC2,SPATA18
EFHC2,SPATA18
AIMP2,SPATA18
AIMP2,SPATA18
MAD1L1,SPATA18
MAD1L1,SPATA18
MAD1L1,SPATA18
MAD1L1,SPATA18
PIBF1,SPATA18
PIBF1,SPATA18
ODF2,SPATA18
ODF2,SPATA18
CEP128,SPATA18
CEP128,SPATA18
Mecom,SPATA18
Mecom,SPATA18
YWHAH,SPATA18
YWHAH,SPATA18
HCN1,Shank3
HCN1,Shank3
HCN1,Shank3
HCN1,Shank3
HCN1,Shank3
ZNF25,SCRN1
ZNF25,ADRB2
ZNF25,SCRN1
ZNF25,SCRN1
ZNF25,SCRN1
ZNF25,ADRB2
HEMGN,ZNF25
HEMGN,ZNF25
CKMT2,FER1L6
CKMT2,FER1L6
RPLP2,UNC13C
RPLP2,UNC13C
H1-1,UNC13C
H1-1,UNC13C
PRKCSH,UNC13C
PRKCSH,UNC13C
CACNA1E,MDM2
CACNA1E,MDM2
H2BC21,CACNA1E
H2BC21,CACNA1E
RGS7BP,DISC1
RGS7BP,DISC1
PLVAP,lipB
PLVAP,a0a6m0nnk5_yerpe
PLVAP,glmS
PLVAP,a0a1u9x8x8_human
PLVAP,a0a1u9x8x8_human
PLVAP,a0a1u9x8x8_human
PLVAP,ZDHHC6
PLVAP,LMAN2L
PLVAP,FUT8
PLVAP,OSBPL11
PLVAP,SMPD2
PLVAP,lipB
PLVAP,a0a6m0nnk5_yerpe
PLVAP,glmS
PLVAP,a0a1u9x8x8_human
PLVAP,ZDHHC6
PLVAP,LMAN2L
PLVAP,FUT8
PLVAP,OSBPL11
PLVAP,SMPD2
sctC,PLVAP
sctC,PLVAP
a0a380pfz4_yerpe,PLVAP
a0a380pfz4_yerpe,PLVAP
cheA,PLVAP
cheA,PLVAP
rnb,PLVAP
rnb,PLVAP
purCD,PLVAP
purCD,PLVAP
ASGR1,PLVAP
ASGR1,PLVAP
PPFIA1,CYP4X1
PPFIA1,CYP4X1
KRTAP19-3,SMR3A
KRTAP19-3,CREB5
KRTAP19-3,LASP1
KRTAP19-3,POU2AF1
KRTAP19-3,CREB5
KRTAP19-3,ARID5A
KRTAP19-3,CYSRT1
KRTAP19-3,TNIP1
KRTAP19-3,CAMK2B
KRTAP19-3,CAMK2G
KRTAP19-3,DAZAP2
KRTAP19-3,LASP1
KRTAP19-3,LASP1
KRTAP19-3,SMR3A
KRTAP19-3,CREB5
KRTAP19-3,SMR3A
KRTAP19-3,CREB5
KRTAP19-3,LASP1
KRTAP19-3,POU2AF1
KRTAP19-3,CYSRT1
KRTAP19-3,CAMK2G
NAF1,KRTAP19-3
NAF1,KRTAP19-3
NAF1,KRTAP19-3
NAF1,KRTAP19-3
SMR3A,KRTAP19-3
ARID5A,KRTAP19-3
ARID5A,KRTAP19-3
ARID5A,KRTAP19-3
GLIS2,KRTAP19-3
GLIS2,KRTAP19-3
GLIS2,KRTAP19-3
GLIS2,KRTAP19-3
TNIP1,KRTAP19-3
TNIP1,KRTAP19-3
TNIP1,KRTAP19-3
CAMK2B,KRTAP19-3
CAMK2B,KRTAP19-3
CAMK2B,KRTAP19-3
BOLL,KRTAP19-3
BOLL,KRTAP19-3
BOLL,KRTAP19-3
BOLL,KRTAP19-3
POU2AF1,KRTAP19-3
POU2AF1,KRTAP19-3
CYSRT1,KRTAP19-3
CYSRT1,KRTAP19-3
CAMK2G,KRTAP19-3
CAMK2G,KRTAP19-3
CAMK2A,KRTAP19-3
CAMK2A,KRTAP19-3
CAMK2A,KRTAP19-3
CAMK2A,KRTAP19-3
VAC14,KRTAP19-3
VAC14,KRTAP19-3
VAC14,KRTAP19-3
VAC14,KRTAP19-3
RBPMS,KRTAP19-3
RBPMS,KRTAP19-3
RBPMS,KRTAP19-3
RBPMS,KRTAP19-3
UBQLN2,KRTAP19-3
UBQLN2,KRTAP19-3
UBQLN2,KRTAP19-3
UBQLN2,KRTAP19-3
JPH3,CYP26B1
JPH3,CYP26B1
JPH3,CYP26B1
JPH3,CYP26B1
CFAP61,Dlg4
CFAP61,Dlg4
